x, y
 0.0000000, 0.0000000
 0.0239520, 0.0000240
 0.0478083, 0.0000959
 0.0715689, 0.0002156
 0.0952340, 0.0003830
 0.1188040, 0.0005980
 0.1422789, 0.0008605
 0.1656590, 0.0011705
 0.1889444, 0.0015278
 0.2121353, 0.0019323
 0.2352320, 0.0023840
 0.2582346, 0.0028827
 0.2811433, 0.0034284
 0.3039583, 0.0040208
 0.3266798, 0.0046601
 0.3493080, 0.0053460
 0.3718431, 0.0060785
 0.3942852, 0.0068574
 0.4166346, 0.0076827
 0.4388915, 0.0085543
 0.4610560, 0.0094720
 0.4831284, 0.0104358
 0.5051087, 0.0114456
 0.5269973, 0.0125013
 0.5487944, 0.0136028
 0.5705000, 0.0147500
 0.5921144, 0.0159428
 0.6136379, 0.0171811
 0.6350705, 0.0184648
 0.6564124, 0.0197938
 0.6776640, 0.0211680
 0.6988253, 0.0225873
 0.7198966, 0.0240517
 0.7408780, 0.0255610
 0.7617697, 0.0271151
 0.7825720, 0.0287140
 0.8032850, 0.0303575
 0.8239089, 0.0320456
 0.8444439, 0.0337780
 0.8648902, 0.0355549
 0.8852480, 0.0373760
 0.9055175, 0.0392413
 0.9256988, 0.0411506
 0.9457922, 0.0431039
 0.9657979, 0.0451011
 0.9857160, 0.0471420
 1.0055468, 0.0492266
 1.0252903, 0.0513548
 1.0449469, 0.0535265
 1.0645168, 0.0557416
 1.0840000, 0.0580000
 1.1033968, 0.0603016
 1.1227075, 0.0626463
 1.1419321, 0.0650340
 1.1610708, 0.0674646
 1.1801240, 0.0699380
 1.1990917, 0.0724541
 1.2179742, 0.0750129
 1.2367716, 0.0776142
 1.2554841, 0.0802579
 1.2741120, 0.0829440
 1.2926554, 0.0856723
 1.3111145, 0.0884428
 1.3294895, 0.0912552
 1.3477806, 0.0941097
 1.3659880, 0.0970060
 1.3841119, 0.0999441
 1.4021524, 0.1029238
 1.4201098, 0.1059451
 1.4379843, 0.1090079
 1.4557760, 0.1121120
 1.4734852, 0.1152574
 1.4911119, 0.1184440
 1.5086565, 0.1216717
 1.5261192, 0.1249404
 1.5435000, 0.1282500
 1.5607992, 0.1316004
 1.5780171, 0.1349915
 1.5951537, 0.1384232
 1.6122092, 0.1418954
 1.6291840, 0.1454080
 1.6460781, 0.1489609
 1.6628918, 0.1525541
 1.6796252, 0.1561874
 1.6962785, 0.1598607
 1.7128520, 0.1635740
 1.7293458, 0.1673271
 1.7457601, 0.1711200
 1.7620951, 0.1749524
 1.7783510, 0.1788245
 1.7945280, 0.1827360
 1.8106263, 0.1866869
 1.8266460, 0.1906770
 1.8425874, 0.1947063
 1.8584507, 0.1987747
 1.8742360, 0.2028820
 1.8899436, 0.2070282
 1.9055735, 0.2112132
 1.9211261, 0.2154369
 1.9366016, 0.2196992
 1.9520000, 0.2240000
 1.9673216, 0.2283392
 1.9825667, 0.2327167
 1.9977353, 0.2371324
 2.0128276, 0.2415862
 2.0278440, 0.2460780
 2.0427845, 0.2506077
 2.0576494, 0.2551753
 2.0724388, 0.2597806
 2.0871529, 0.2644235
 2.1017920, 0.2691040
 2.1163562, 0.2738219
 2.1308457, 0.2785772
 2.1452607, 0.2833696
 2.1596014, 0.2881993
 2.1738680, 0.2930660
 2.1880607, 0.2979697
 2.2021796, 0.3029102
 2.2162250, 0.3078875
 2.2301971, 0.3129015
 2.2440960, 0.3179520
 2.2579220, 0.3230390
 2.2716751, 0.3281624
 2.2853557, 0.3333221
 2.2989640, 0.3385180
 2.3125000, 0.3437500
 2.3259640, 0.3490180
 2.3393563, 0.3543219
 2.3526769, 0.3596616
 2.3659260, 0.3650370
 2.3791040, 0.3704480
 2.3922109, 0.3758945
 2.4052470, 0.3813765
 2.4182124, 0.3868938
 2.4311073, 0.3924463
 2.4439320, 0.3980340
 2.4566866, 0.4036567
 2.4693713, 0.4093144
 2.4819863, 0.4150068
 2.4945318, 0.4207341
 2.5070080, 0.4264960
 2.5194151, 0.4322925
 2.5317532, 0.4381234
 2.5440226, 0.4439887
 2.5562235, 0.4498883
 2.5683560, 0.4558220
 2.5804204, 0.4617898
 2.5924167, 0.4677916
 2.6043453, 0.4738273
 2.6162064, 0.4798968
 2.6280000, 0.4860000
 2.6397264, 0.4921368
 2.6513859, 0.4983071
 2.6629785, 0.5045108
 2.6745044, 0.5107478
 2.6859640, 0.5170180
 2.6973573, 0.5233213
 2.7086846, 0.5296577
 2.7199460, 0.5360270
 2.7311417, 0.5424291
 2.7422720, 0.5488640
 2.7533370, 0.5553315
 2.7643369, 0.5618316
 2.7752719, 0.5683640
 2.7861422, 0.5749289
 2.7969480, 0.5815260
 2.8076895, 0.5881553
 2.8183668, 0.5948166
 2.8289802, 0.6015099
 2.8395299, 0.6082351
 2.8500160, 0.6149920
 2.8604388, 0.6217806
 2.8707983, 0.6286008
 2.8810949, 0.6354525
 2.8913288, 0.6423356
 2.9015000, 0.6492500
 2.9116088, 0.6561956
 2.9216555, 0.6631723
 2.9316401, 0.6701800
 2.9415628, 0.6772186
 2.9514240, 0.6842880
 2.9612237, 0.6913881
 2.9709622, 0.6985189
 2.9806396, 0.7056802
 2.9902561, 0.7128719
 2.9998120, 0.7200940
 3.0093074, 0.7273463
 3.0187425, 0.7346288
 3.0281175, 0.7419412
 3.0374326, 0.7492837
 3.0466880, 0.7566560
 3.0558839, 0.7640581
 3.0650204, 0.7714898
 3.0740978, 0.7789511
 3.0831163, 0.7864419
 3.0920760, 0.7939620
 3.1009772, 0.8015114
 3.1098199, 0.8090900
 3.1186045, 0.8166977
 3.1273312, 0.8243344
 3.1360000, 0.8320000
 3.1446112, 0.8396944
 3.1531651, 0.8474175
 3.1616617, 0.8551692
 3.1701012, 0.8629494
 3.1784840, 0.8707580
 3.1868101, 0.8785949
 3.1950798, 0.8864601
 3.2032932, 0.8943534
 3.2114505, 0.9022747
 3.2195520, 0.9102240
 3.2275978, 0.9182011
 3.2355881, 0.9262060
 3.2435231, 0.9342384
 3.2514030, 0.9422985
 3.2592280, 0.9503860
 3.2669983, 0.9585009
 3.2747140, 0.9666430
 3.2823754, 0.9748123
 3.2899827, 0.9830087
 3.2975360, 0.9912320
 3.3050356, 0.9994822
 3.3124815, 1.0077592
 3.3198741, 1.0160629
 3.3272136, 1.0243932
 3.3345000, 1.0327500
 3.3417336, 1.0411332
 3.3489147, 1.0495427
 3.3560433, 1.0579784
 3.3631196, 1.0664402
 3.3701440, 1.0749280
 3.3771165, 1.0834417
 3.3840374, 1.0919813
 3.3909068, 1.1005466
 3.3977249, 1.1091375
 3.4044920, 1.1177540
 3.4112082, 1.1263959
 3.4178737, 1.1350632
 3.4244887, 1.1437556
 3.4310534, 1.1524733
 3.4375680, 1.1612160
 3.4440327, 1.1699837
 3.4504476, 1.1787762
 3.4568130, 1.1875935
 3.4631291, 1.1964355
 3.4693960, 1.2053020
 3.4756140, 1.2141930
 3.4817831, 1.2231084
 3.4879037, 1.2320481
 3.4939760, 1.2410120
 3.5000000, 1.2500000
 3.5059760, 1.2590120
 3.5119043, 1.2680479
 3.5177849, 1.2771076
 3.5236180, 1.2861910
 3.5294040, 1.2952980
 3.5351429, 1.3044285
 3.5408350, 1.3135825
 3.5464804, 1.3227598
 3.5520793, 1.3319603
 3.5576320, 1.3411840
 3.5631386, 1.3504307
 3.5685993, 1.3597004
 3.5740143, 1.3689928
 3.5793838, 1.3783081
 3.5847080, 1.3876460
 3.5899871, 1.3970065
 3.5952212, 1.4063894
 3.6004106, 1.4157947
 3.6055555, 1.4252223
 3.6106560, 1.4346720
 3.6157124, 1.4441438
 3.6207247, 1.4536376
 3.6256933, 1.4631533
 3.6306184, 1.4726908
 3.6355000, 1.4822500
 3.6403384, 1.4918308
 3.6451339, 1.5014331
 3.6498865, 1.5110568
 3.6545964, 1.5207018
 3.6592640, 1.5303680
 3.6638893, 1.5400553
 3.6684726, 1.5497637
 3.6730140, 1.5594930
 3.6775137, 1.5692431
 3.6819720, 1.5790140
 3.6863890, 1.5888055
 3.6907649, 1.5986176
 3.6950999, 1.6084500
 3.6993942, 1.6183029
 3.7036480, 1.6281760
 3.7078615, 1.6380693
 3.7120348, 1.6479826
 3.7161682, 1.6579159
 3.7202619, 1.6678691
 3.7243160, 1.6778420
 3.7283308, 1.6878346
 3.7323063, 1.6978468
 3.7362429, 1.7078785
 3.7401408, 1.7179296
 3.7440000, 1.7280000
 3.7478208, 1.7380896
 3.7516035, 1.7481983
 3.7553481, 1.7583260
 3.7590548, 1.7684726
 3.7627240, 1.7786380
 3.7663557, 1.7888221
 3.7699502, 1.7990249
 3.7735076, 1.8092462
 3.7770281, 1.8194859
 3.7805120, 1.8297440
 3.7839594, 1.8400203
 3.7873705, 1.8503148
 3.7907455, 1.8606272
 3.7940846, 1.8709577
 3.7973880, 1.8813060
 3.8006559, 1.8916721
 3.8038884, 1.9020558
 3.8070858, 1.9124571
 3.8102483, 1.9228759
 3.8133760, 1.9333120
 3.8164692, 1.9437654
 3.8195279, 1.9542360
 3.8225525, 1.9647237
 3.8255432, 1.9752284
 3.8285000, 1.9857500
 3.8314232, 1.9962884
 3.8343131, 2.0068435
 3.8371697, 2.0174152
 3.8399932, 2.0280034
 3.8427840, 2.0386080
 3.8455421, 2.0492289
 3.8482678, 2.0598661
 3.8509612, 2.0705194
 3.8536225, 2.0811887
 3.8562520, 2.0918740
 3.8588498, 2.1025751
 3.8614161, 2.1132920
 3.8639511, 2.1240244
 3.8664550, 2.1347725
 3.8689280, 2.1455360
 3.8713703, 2.1563149
 3.8737820, 2.1671090
 3.8761634, 2.1779183
 3.8785147, 2.1887427
 3.8808360, 2.1995820
 3.8831276, 2.2104362
 3.8853895, 2.2213052
 3.8876221, 2.2321889
 3.8898256, 2.2430872
 3.8920000, 2.2540000
 3.8941456, 2.2649272
 3.8962627, 2.2758687
 3.8983513, 2.2868244
 3.9004116, 2.2977942
 3.9024440, 2.3087780
 3.9044485, 2.3197757
 3.9064254, 2.3307873
 3.9083748, 2.3418126
 3.9102969, 2.3528515
 3.9121920, 2.3639040
 3.9140602, 2.3749699
 3.9159017, 2.3860492
 3.9177167, 2.3971416
 3.9195054, 2.4082473
 3.9212680, 2.4193660
 3.9230047, 2.4304977
 3.9247156, 2.4416422
 3.9264010, 2.4527995
 3.9280611, 2.4639695
 3.9296960, 2.4751520
 3.9313060, 2.4863470
 3.9328911, 2.4975544
 3.9344517, 2.5087741
 3.9359880, 2.5200060
 3.9375000, 2.5312500
 3.9389880, 2.5425060
 3.9404523, 2.5537739
 3.9418929, 2.5650536
 3.9433100, 2.5763450
 3.9447040, 2.5876480
 3.9460749, 2.5989625
 3.9474230, 2.6102885
 3.9487484, 2.6216258
 3.9500513, 2.6329743
 3.9513320, 2.6443340
 3.9525906, 2.6557047
 3.9538273, 2.6670864
 3.9550423, 2.6784788
 3.9562358, 2.6898821
 3.9574080, 2.7012960
 3.9585591, 2.7127205
 3.9596892, 2.7241554
 3.9607986, 2.7356007
 3.9618875, 2.7470563
 3.9629560, 2.7585220
 3.9640044, 2.7699978
 3.9650327, 2.7814836
 3.9660413, 2.7929793
 3.9670304, 2.8044848
 3.9680000, 2.8160000
 3.9689504, 2.8275248
 3.9698819, 2.8390591
 3.9707945, 2.8506028
 3.9716884, 2.8621558
 3.9725640, 2.8737180
 3.9734213, 2.8852893
 3.9742606, 2.8968697
 3.9750820, 2.9084590
 3.9758857, 2.9200571
 3.9766720, 2.9316640
 3.9774410, 2.9432795
 3.9781929, 2.9549036
 3.9789279, 2.9665360
 3.9796462, 2.9781769
 3.9803480, 2.9898260
 3.9810335, 3.0014833
 3.9817028, 3.0131486
 3.9823562, 3.0248219
 3.9829939, 3.0365031
 3.9836160, 3.0481920
 3.9842228, 3.0598886
 3.9848143, 3.0715928
 3.9853909, 3.0833045
 3.9859528, 3.0950236
 3.9865000, 3.1067500
 3.9870328, 3.1184836
 3.9875515, 3.1302243
 3.9880561, 3.1419720
 3.9885468, 3.1537266
 3.9890240, 3.1654880
 3.9894877, 3.1772561
 3.9899382, 3.1890309
 3.9903756, 3.2008122
 3.9908001, 3.2125999
 3.9912120, 3.2243940
 3.9916114, 3.2361943
 3.9919985, 3.2480008
 3.9923735, 3.2598132
 3.9927366, 3.2716317
 3.9930880, 3.2834560
 3.9934279, 3.2952861
 3.9937564, 3.3071218
 3.9940738, 3.3189631
 3.9943803, 3.3308099
 3.9946760, 3.3426620
 3.9949612, 3.3545194
 3.9952359, 3.3663820
 3.9955005, 3.3782497
 3.9957552, 3.3901224
 3.9960000, 3.4020000
 3.9962352, 3.4138824
 3.9964611, 3.4257695
 3.9966777, 3.4376612
 3.9968852, 3.4495574
 3.9970840, 3.4614580
 3.9972741, 3.4733629
 3.9974558, 3.4852721
 3.9976292, 3.4971854
 3.9977945, 3.5091027
 3.9979520, 3.5210240
 3.9981018, 3.5329491
 3.9982441, 3.5448780
 3.9983791, 3.5568104
 3.9985070, 3.5687465
 3.9986280, 3.5806860
 3.9987423, 3.5926289
 3.9988500, 3.6045750
 3.9989514, 3.6165243
 3.9990467, 3.6284767
 3.9991360, 3.6404320
 3.9992196, 3.6523902
 3.9992975, 3.6643512
 3.9993701, 3.6763149
 3.9994376, 3.6882812
 3.9995000, 3.7002500
 3.9995576, 3.7122212
 3.9996107, 3.7241947
 3.9996593, 3.7361704
 3.9997036, 3.7481482
 3.9997440, 3.7601280
 3.9997805, 3.7721097
 3.9998134, 3.7840933
 3.9998428, 3.7960786
 3.9998689, 3.8080655
 3.9998920, 3.8200540
 3.9999122, 3.8320439
 3.9999297, 3.8440352
 3.9999447, 3.8560276
 3.9999574, 3.8680213
 3.9999680, 3.8800160
 3.9999767, 3.8920117
 3.9999836, 3.9040082
 3.9999890, 3.9160055
 3.9999931, 3.9280035
 3.9999960, 3.9400020
 3.9999980, 3.9520010
 3.9999991, 3.9640004
 3.9999997, 3.9760001
 4.0000000, 3.9880000
